date,season_type,neutral,team_1,team_2,points_1,points_2,moneyline_1,moneyline_2,game_url
24 Mar 2010,Regular,0,Buffalo Sabres,Montreal Canadiens,3,2,-168.0,135.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/buffalo-sabres-montreal-canadiens-69CCdfxa/
24 Mar 2010,Regular,0,Detroit Red Wings,St. Louis Blues,4,2,-191.0,157.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/detroit-red-wings-st-louis-blues-lIZOeEi5/
24 Mar 2010,Regular,0,New York Rangers,New York Islanders,5,0,-151.0,125.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-rangers-new-york-islanders-AsJ3bG7n/
24 Mar 2010,Regular,0,Washington Capitals,Pittsburgh Penguins,4,3,-227.0,163.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/washington-capitals-pittsburgh-penguins-OpN7czNh/
23 Mar 2010,Regular,0,Calgary Flames,Anaheim Ducks,3,1,,,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/calgary-flames-anaheim-ducks-GKJaadht/
23 Mar 2010,Regular,0,Edmonton Oilers,Vancouver Canucks,3,2,190.0,-241.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/edmonton-oilers-vancouver-canucks-EBXX3xpP/
23 Mar 2010,Regular,0,Chicago Blackhawks,Arizona Coyotes,2,0,-194.0,161.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/chicago-blackhawks-arizona-coyotes-rBm4dptP/
23 Mar 2010,Regular,0,Minnesota Wild,San Jose Sharks,1,4,109.0,-132.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/minnesota-wild-san-jose-sharks-4Kl0cQQI/
23 Mar 2010,Regular,0,Nashville Predators,Dallas Stars,1,3,-165.0,135.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/nashville-predators-dallas-stars-Ackdb6BC/
23 Mar 2010,Regular,0,Ottawa Senators,Philadelphia Flyers,2,0,-121.0,-102.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/ottawa-senators-philadelphia-flyers-dfohand6/
23 Mar 2010,Regular,0,Tampa Bay Lightning,Carolina Hurricanes,3,2,-118.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/tampa-bay-lightning-carolina-hurricanes-EVem0St0/
23 Mar 2010,Regular,0,New Jersey Devils,Columbus Blue Jackets,6,3,-223.0,181.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-jersey-devils-columbus-blue-jackets-OdVS2Uds/
23 Mar 2010,Regular,0,Toronto Maple Leafs,Florida Panthers,1,4,-154.0,128.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/toronto-maple-leafs-florida-panthers-2mUW1lCm/
23 Mar 2010,Regular,0,Winnipeg Jets,Boston Bruins,0,4,-103.0,-119.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-boston-bruins-WMYz18Rg/
22 Mar 2010,Regular,0,Los Angeles Kings,Colorado Avalanche,4,3,-161.0,130.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/los-angeles-kings-colorado-avalanche-IFh07AlQ/
22 Mar 2010,Regular,0,Montreal Canadiens,Ottawa Senators,0,2,-142.0,117.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/montreal-canadiens-ottawa-senators-6ukd8jZJ/
22 Mar 2010,Regular,0,Detroit Red Wings,Pittsburgh Penguins,3,1,-146.0,121.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/detroit-red-wings-pittsburgh-penguins-lKx6q7dJ/
21 Mar 2010,Regular,0,Anaheim Ducks,Colorado Avalanche,5,2,-125.0,102.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/anaheim-ducks-colorado-avalanche-ATw2pmsD/
21 Mar 2010,Regular,0,Edmonton Oilers,San Jose Sharks,5,1,210.0,-257.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/edmonton-oilers-san-jose-sharks-hhqcoTR6/
21 Mar 2010,Regular,0,Dallas Stars,Arizona Coyotes,2,3,-119.0,-102.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/dallas-stars-arizona-coyotes-Kvokmkcf/
21 Mar 2010,Regular,0,Philadelphia Flyers,Winnipeg Jets,1,3,-194.0,161.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/philadelphia-flyers-winnipeg-jets-E1pgn9C0/
21 Mar 2010,Regular,0,St. Louis Blues,Nashville Predators,2,3,-142.0,117.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/st-louis-blues-nashville-predators-2JIxlVsl/
21 Mar 2010,Regular,0,Carolina Hurricanes,Buffalo Sabres,3,5,-110.0,-114.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/carolina-hurricanes-buffalo-sabres-rV546wbF/
21 Mar 2010,Regular,0,Florida Panthers,Tampa Bay Lightning,5,2,-142.0,117.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/florida-panthers-tampa-bay-lightning-KfTXlBSs/
21 Mar 2010,Regular,0,Minnesota Wild,Calgary Flames,4,3,-112.0,-112.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/minnesota-wild-calgary-flames-lfi17Jr9/
21 Mar 2010,Regular,0,Boston Bruins,New York Rangers,2,1,-130.0,107.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/boston-bruins-new-york-rangers-A3hc8aT2/
20 Mar 2010,Regular,0,Los Angeles Kings,New York Islanders,1,0,-241.0,192.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/los-angeles-kings-new-york-islanders-4tj6qGj2/
20 Mar 2010,Regular,0,Vancouver Canucks,Detroit Red Wings,3,4,-155.0,127.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/vancouver-canucks-detroit-red-wings-jwn2pdyd/
20 Mar 2010,Regular,0,Arizona Coyotes,Chicago Blackhawks,5,4,-111.0,-113.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/arizona-coyotes-chicago-blackhawks-dGnboxMk/
20 Mar 2010,Regular,0,Nashville Predators,Columbus Blue Jackets,1,0,-215.0,174.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/nashville-predators-columbus-blue-jackets-IPmfnI6q/
20 Mar 2010,Regular,0,Tampa Bay Lightning,Washington Capitals,1,3,177.0,-217.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/tampa-bay-lightning-washington-capitals-xW5RjbbS/
20 Mar 2010,Regular,0,Florida Panthers,Buffalo Sabres,1,3,105.0,-128.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/florida-panthers-buffalo-sabres-fNrFivqM/
20 Mar 2010,Regular,0,New Jersey Devils,St. Louis Blues,0,1,-164.0,133.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-jersey-devils-st-louis-blues-00qBhKTF/
20 Mar 2010,Regular,0,Toronto Maple Leafs,Montreal Canadiens,3,2,-114.0,-110.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/toronto-maple-leafs-montreal-canadiens-lQu7g0E9/
20 Mar 2010,Regular,0,Winnipeg Jets,Philadelphia Flyers,5,2,109.0,-132.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-philadelphia-flyers-61j2fta3/
20 Mar 2010,Regular,0,Dallas Stars,Ottawa Senators,5,4,-116.0,-105.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/dallas-stars-ottawa-senators-SAibeMqc/
20 Mar 2010,Regular,0,Pittsburgh Penguins,Carolina Hurricanes,2,3,-225.0,182.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/pittsburgh-penguins-carolina-hurricanes-zwz8Wx7d/
19 Mar 2010,Regular,0,Anaheim Ducks,New York Islanders,5,4,-182.0,149.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/anaheim-ducks-new-york-islanders-dny4XIij/
19 Mar 2010,Regular,0,Edmonton Oilers,Detroit Red Wings,3,2,217.0,-270.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/edmonton-oilers-detroit-red-wings-x2fXxuUS/
19 Mar 2010,Regular,0,Calgary Flames,San Jose Sharks,4,3,-114.0,-111.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/calgary-flames-san-jose-sharks-ENoaYbxp/
19 Mar 2010,Regular,0,Columbus Blue Jackets,Minnesota Wild,4,2,-155.0,128.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/columbus-blue-jackets-minnesota-wild-rueTwLEM/
18 Mar 2010,Regular,0,Los Angeles Kings,Chicago Blackhawks,0,3,-120.0,-102.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/los-angeles-kings-chicago-blackhawks-0WXGv1aG/
18 Mar 2010,Regular,0,Vancouver Canucks,San Jose Sharks,3,2,-139.0,114.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/vancouver-canucks-san-jose-sharks-KKGJuspA/
18 Mar 2010,Regular,0,Dallas Stars,Philadelphia Flyers,2,3,-103.0,-119.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/dallas-stars-philadelphia-flyers-tUHFtNU3/
18 Mar 2010,Regular,0,Nashville Predators,Minnesota Wild,5,0,-169.0,137.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/nashville-predators-minnesota-wild-n7IBs3Fc/
18 Mar 2010,Regular,0,Florida Panthers,Arizona Coyotes,3,4,116.0,-142.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/florida-panthers-arizona-coyotes-Y3E7rq0i/
18 Mar 2010,Regular,0,Tampa Bay Lightning,Buffalo Sabres,2,6,107.0,-130.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/tampa-bay-lightning-buffalo-sabres-ljDCKu8p/
18 Mar 2010,Regular,0,Toronto Maple Leafs,New Jersey Devils,2,1,-104.0,-117.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/toronto-maple-leafs-new-jersey-devils-StCGJaNj/
18 Mar 2010,Regular,0,Boston Bruins,Pittsburgh Penguins,0,3,-138.0,114.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/boston-bruins-pittsburgh-penguins-8IMwTNFA/
18 Mar 2010,Regular,0,Carolina Hurricanes,Washington Capitals,4,3,134.0,-163.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/carolina-hurricanes-washington-capitals-zqXyRsVG/
18 Mar 2010,Regular,0,New York Rangers,St. Louis Blues,3,4,-128.0,105.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-rangers-st-louis-blues-I7MtQ1pN/
18 Mar 2010,Regular,0,Winnipeg Jets,Ottawa Senators,6,3,-102.0,-119.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-ottawa-senators-dbLpPLaT/
17 Mar 2010,Regular,0,Anaheim Ducks,Chicago Blackhawks,4,2,114.0,-139.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/anaheim-ducks-chicago-blackhawks-EeNZT304/
17 Mar 2010,Regular,0,Colorado Avalanche,Calgary Flames,2,3,-131.0,108.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/colorado-avalanche-calgary-flames-z5OVUqob/
17 Mar 2010,Regular,0,New Jersey Devils,Pittsburgh Penguins,5,2,-142.0,117.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-jersey-devils-pittsburgh-penguins-ITTQVPVi/
16 Mar 2010,Regular,0,Vancouver Canucks,New York Islanders,2,5,-270.0,219.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/vancouver-canucks-new-york-islanders-vwVMW5Go/
16 Mar 2010,Regular,0,Dallas Stars,San Jose Sharks,8,2,135.0,-165.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/dallas-stars-san-jose-sharks-MHIW7Mwo/
16 Mar 2010,Regular,0,Minnesota Wild,Edmonton Oilers,4,2,-275.0,227.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/minnesota-wild-edmonton-oilers-pdR4C2VT/
16 Mar 2010,Regular,0,Nashville Predators,Philadelphia Flyers,4,3,-117.0,-105.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/nashville-predators-philadelphia-flyers-2Xy0DrGN/
16 Mar 2010,Regular,0,St. Louis Blues,Colorado Avalanche,3,5,-154.0,126.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/st-louis-blues-colorado-avalanche-OtwdEO0H/
16 Mar 2010,Regular,0,Florida Panthers,Washington Capitals,3,7,132.0,-164.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/florida-panthers-washington-capitals-Y7GuGpW4/
16 Mar 2010,Regular,0,New York Rangers,Montreal Canadiens,1,3,-164.0,132.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-rangers-montreal-canadiens-rJNSInnn/
16 Mar 2010,Regular,0,Ottawa Senators,Toronto Maple Leafs,1,4,-187.0,155.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/ottawa-senators-toronto-maple-leafs-jqRzHQGb/
16 Mar 2010,Regular,0,Tampa Bay Lightning,Arizona Coyotes,1,2,-103.0,-122.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/tampa-bay-lightning-arizona-coyotes-GGwhF4oB/
16 Mar 2010,Regular,0,Carolina Hurricanes,Boston Bruins,2,5,-142.0,117.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/carolina-hurricanes-boston-bruins-xtNWH61h/
16 Mar 2010,Regular,0,Winnipeg Jets,Buffalo Sabres,4,3,114.0,-137.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-buffalo-sabres-4SOOJSWu/
15 Mar 2010,Regular,0,Calgary Flames,Detroit Red Wings,1,2,-103.0,-119.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/calgary-flames-detroit-red-wings-QJh8BVvJ/
15 Mar 2010,Regular,0,Columbus Blue Jackets,Edmonton Oilers,5,3,-215.0,176.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/columbus-blue-jackets-edmonton-oilers-nTg4CBPC/
15 Mar 2010,Regular,0,New Jersey Devils,Boston Bruins,3,2,-163.0,131.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-jersey-devils-boston-bruins-h6f0DiA6/
14 Mar 2010,Regular,0,Vancouver Canucks,Calgary Flames,3,1,-161.0,131.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/vancouver-canucks-calgary-flames-tWjdEXf0/
14 Mar 2010,Regular,0,Anaheim Ducks,San Jose Sharks,4,2,114.0,-138.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/anaheim-ducks-san-jose-sharks-b71iFDuf/
14 Mar 2010,Regular,0,Minnesota Wild,St. Louis Blues,4,2,-141.0,116.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/minnesota-wild-st-louis-blues-nPZzHZAs/
14 Mar 2010,Regular,0,Tampa Bay Lightning,Pittsburgh Penguins,1,2,145.0,-178.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/tampa-bay-lightning-pittsburgh-penguins-2ib4MemK/
14 Mar 2010,Regular,0,Winnipeg Jets,Arizona Coyotes,2,3,-104.0,-117.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-arizona-coyotes-llf0NyYD/
14 Mar 2010,Regular,0,New York Islanders,Toronto Maple Leafs,4,1,-118.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-islanders-toronto-maple-leafs-pGm9LF2Q/
14 Mar 2010,Regular,0,Dallas Stars,Colorado Avalanche,3,5,-119.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/dallas-stars-colorado-avalanche-QFC90EQ0/
14 Mar 2010,Regular,0,Los Angeles Kings,Nashville Predators,2,3,-164.0,134.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/los-angeles-kings-nashville-predators-hxq6aYu7/
14 Mar 2010,Regular,0,New York Rangers,Philadelphia Flyers,3,1,-128.0,105.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-rangers-philadelphia-flyers-WSsAbheD/
14 Mar 2010,Regular,0,Chicago Blackhawks,Washington Capitals,3,4,-129.0,107.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/chicago-blackhawks-washington-capitals-GbvuGgQm/
13 Mar 2010,Regular,0,Vancouver Canucks,Ottawa Senators,5,1,-187.0,155.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/vancouver-canucks-ottawa-senators-nPD51fBf/
13 Mar 2010,Regular,0,Carolina Hurricanes,Arizona Coyotes,0,4,-132.0,107.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/carolina-hurricanes-arizona-coyotes-j9AI8xJK/
13 Mar 2010,Regular,0,Columbus Blue Jackets,St. Louis Blues,1,5,107.0,-130.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/columbus-blue-jackets-st-louis-blues-h2E12zdl/
13 Mar 2010,Regular,0,Detroit Red Wings,Buffalo Sabres,3,2,-187.0,156.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/detroit-red-wings-buffalo-sabres-Ua9M7dYQ/
13 Mar 2010,Regular,0,Montreal Canadiens,Boston Bruins,3,2,-104.0,-117.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/montreal-canadiens-boston-bruins-MZ5E9I3E/
13 Mar 2010,Regular,0,New York Islanders,New Jersey Devils,4,2,116.0,-140.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-islanders-new-jersey-devils-zsnk3Gtr/
13 Mar 2010,Regular,0,Toronto Maple Leafs,Edmonton Oilers,6,4,-192.0,158.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/toronto-maple-leafs-edmonton-oilers-rq7AAbl8/
13 Mar 2010,Regular,0,San Jose Sharks,Florida Panthers,2,3,-286.0,230.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/san-jose-sharks-florida-panthers-xM4JoFB7/
13 Mar 2010,Regular,0,Philadelphia Flyers,Chicago Blackhawks,3,2,-102.0,-120.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/philadelphia-flyers-chicago-blackhawks-Qo1Fned1/
12 Mar 2010,Regular,0,Anaheim Ducks,Nashville Predators,0,1,-154.0,127.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/anaheim-ducks-nashville-predators-hY27lHRl/
12 Mar 2010,Regular,0,Dallas Stars,Los Angeles Kings,1,2,-117.0,-105.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/dallas-stars-los-angeles-kings-zc82kcCr/
12 Mar 2010,Regular,0,Buffalo Sabres,Minnesota Wild,2,3,-189.0,158.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/buffalo-sabres-minnesota-wild-z9bOfJlL/
12 Mar 2010,Regular,0,Winnipeg Jets,New York Rangers,2,5,-102.0,-120.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-new-york-rangers-UVcSgw4R/
12 Mar 2010,Regular,0,New Jersey Devils,Pittsburgh Penguins,3,1,-139.0,115.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-jersey-devils-pittsburgh-penguins-rByvSSCQ/
12 Mar 2010,Regular,0,Washington Capitals,Tampa Bay Lightning,2,3,-334.0,267.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/washington-capitals-tampa-bay-lightning-pKN5NnLs/
11 Mar 2010,Regular,0,San Jose Sharks,Nashville Predators,8,5,-230.0,183.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/san-jose-sharks-nashville-predators-McSW6Rz1/
11 Mar 2010,Regular,0,Calgary Flames,Ottawa Senators,2,0,-145.0,119.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/calgary-flames-ottawa-senators-2eCV8m6l/
11 Mar 2010,Regular,0,Colorado Avalanche,Florida Panthers,3,0,-185.0,154.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/colorado-avalanche-florida-panthers-r7TS77Lf/
11 Mar 2010,Regular,0,Detroit Red Wings,Minnesota Wild,5,1,-228.0,182.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/detroit-red-wings-minnesota-wild-KnkJ9Tjr/
11 Mar 2010,Regular,0,Carolina Hurricanes,Pittsburgh Penguins,4,3,116.0,-140.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/carolina-hurricanes-pittsburgh-penguins-Oz6iEIxA/
11 Mar 2010,Regular,0,Columbus Blue Jackets,Winnipeg Jets,2,1,-130.0,108.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/columbus-blue-jackets-winnipeg-jets-tC0dDxhG/
11 Mar 2010,Regular,0,Montreal Canadiens,Edmonton Oilers,5,4,-250.0,199.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/montreal-canadiens-edmonton-oilers-SjRkReMF/
11 Mar 2010,Regular,0,New York Islanders,St. Louis Blues,1,2,115.0,-141.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-islanders-st-louis-blues-00Hn5Ead/
11 Mar 2010,Regular,0,Philadelphia Flyers,Boston Bruins,1,5,-173.0,145.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/philadelphia-flyers-boston-bruins-WOXtTHi3/
11 Mar 2010,Regular,0,Toronto Maple Leafs,Tampa Bay Lightning,4,3,-142.0,116.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/toronto-maple-leafs-tampa-bay-lightning-IsNCBGMS/
10 Mar 2010,Regular,0,Arizona Coyotes,Vancouver Canucks,4,3,-132.0,108.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/arizona-coyotes-vancouver-canucks-pp7mFbN3/
10 Mar 2010,Regular,0,Chicago Blackhawks,Los Angeles Kings,3,2,-189.0,155.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/chicago-blackhawks-los-angeles-kings-jN7qGv8c/
10 Mar 2010,Regular,0,Buffalo Sabres,Dallas Stars,5,3,-178.0,145.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/buffalo-sabres-dallas-stars-Wd1lhyGj/
10 Mar 2010,Regular,0,New Jersey Devils,New York Rangers,6,3,-167.0,135.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-jersey-devils-new-york-rangers-xK3uHKhi/
10 Mar 2010,Regular,0,Washington Capitals,Carolina Hurricanes,4,3,-290.0,234.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/washington-capitals-carolina-hurricanes-h62pgH0p/
09 Mar 2010,Regular,0,Anaheim Ducks,Columbus Blue Jackets,2,5,-204.0,171.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/anaheim-ducks-columbus-blue-jackets-MNFIcchT/
09 Mar 2010,Regular,0,Edmonton Oilers,Ottawa Senators,1,4,145.0,-173.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/edmonton-oilers-ottawa-senators-rXGEbwwN/
09 Mar 2010,Regular,0,Colorado Avalanche,Vancouver Canucks,4,6,-103.0,-119.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/colorado-avalanche-vancouver-canucks-08R9aJNG/
09 Mar 2010,Regular,0,Minnesota Wild,Florida Panthers,2,3,-176.0,145.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/minnesota-wild-florida-panthers-AZ0k2Lwb/
09 Mar 2010,Regular,0,Montreal Canadiens,Tampa Bay Lightning,5,3,-147.0,120.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/montreal-canadiens-tampa-bay-lightning-E77t4s9o/
09 Mar 2010,Regular,0,Philadelphia Flyers,New York Islanders,3,2,-260.0,210.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/philadelphia-flyers-new-york-islanders-ldlamMO4/
09 Mar 2010,Regular,0,Detroit Red Wings,Calgary Flames,2,4,-187.0,154.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/detroit-red-wings-calgary-flames-Mg4OqvOT/
09 Mar 2010,Regular,0,Toronto Maple Leafs,Boston Bruins,4,3,105.0,-127.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/toronto-maple-leafs-boston-bruins-W4BBntvB/
09 Mar 2010,Regular,0,Winnipeg Jets,Nashville Predators,1,2,-118.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-nashville-predators-0vGFo0gH/
08 Mar 2010,Regular,0,Los Angeles Kings,Columbus Blue Jackets,6,0,-192.0,159.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/los-angeles-kings-columbus-blue-jackets-6Xbfl29b/
08 Mar 2010,Regular,0,Washington Capitals,Dallas Stars,3,4,-290.0,237.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/washington-capitals-dallas-stars-hUfjkrfh/
07 Mar 2010,Regular,0,Anaheim Ducks,Montreal Canadiens,3,4,-173.0,145.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/anaheim-ducks-montreal-canadiens-p22fpS0F/
07 Mar 2010,Regular,0,Edmonton Oilers,New Jersey Devils,2,0,189.0,-235.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/edmonton-oilers-new-jersey-devils-rmLcqnGL/
07 Mar 2010,Regular,0,New York Rangers,Buffalo Sabres,1,2,-117.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-rangers-buffalo-sabres-WEdeN4g2/
07 Mar 2010,Regular,0,Philadelphia Flyers,Toronto Maple Leafs,3,1,-260.0,213.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/philadelphia-flyers-toronto-maple-leafs-OnEonlW2/
07 Mar 2010,Regular,0,Winnipeg Jets,Carolina Hurricanes,0,4,-131.0,107.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-carolina-hurricanes-hOciOpvd/
07 Mar 2010,Regular,0,Minnesota Wild,Calgary Flames,2,5,-139.0,115.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/minnesota-wild-calgary-flames-dd4rQ69q/
07 Mar 2010,Regular,0,Nashville Predators,Vancouver Canucks,2,4,107.0,-131.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/nashville-predators-vancouver-canucks-vHHGUn1S/
07 Mar 2010,Regular,0,Pittsburgh Penguins,Boston Bruins,2,1,-173.0,142.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/pittsburgh-penguins-boston-bruins-Aa8nPQOk/
07 Mar 2010,Regular,0,Chicago Blackhawks,Detroit Red Wings,4,5,-176.0,142.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/chicago-blackhawks-detroit-red-wings-2wDko8o9/
06 Mar 2010,Regular,0,San Jose Sharks,Columbus Blue Jackets,2,1,-257.0,207.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/san-jose-sharks-columbus-blue-jackets-d8f4VSoM/
06 Mar 2010,Regular,0,Los Angeles Kings,Montreal Canadiens,2,4,-213.0,172.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/los-angeles-kings-montreal-canadiens-Gdw7W8WF/
06 Mar 2010,Regular,0,Colorado Avalanche,St. Louis Blues,7,3,-133.0,110.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/colorado-avalanche-st-louis-blues-x6v3XlH9/
06 Mar 2010,Regular,0,Arizona Coyotes,Anaheim Ducks,4,0,-139.0,115.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/arizona-coyotes-anaheim-ducks-rquaYU13/
06 Mar 2010,Regular,0,Tampa Bay Lightning,Winnipeg Jets,6,2,-131.0,107.0,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/tampa-bay-lightning-winnipeg-jets-UuyeZAnc/
